S&P 500 Index,"2,738.97",2018-03-09 19:29:31.685904
NASDAQ Composite Index,"7,427.95",2018-03-09 19:44:48.364295
NASDAQ Composite Index,"7,427.95",2018-03-09 19:44:52.411167
NASDAQ Composite Index,"7,560.81",2018-03-10 18:13:26.605774
